Year,Month,Power_Supplier,HM_EKD,Contract_Account_ID ,Login_Date,AR_PAROXIS_11,Meter_Number,Start_Period,End_Period,Total_ConsumptionDayPeak,Total_ConsumptionNightOffpeak,Total_Consumption,Metering_Period,PoD_Postal_Code,Square_Meters
2023,2,ΔΕΗ Α.Ε,2/18/2023,955001833,10/15/2014,1324000085,3154770412,12/16/2022,2/13/2023,1086,0,1086,Bimonthly,15238,75
2022,10,ΔΕΗ Α.Ε,10/20/2022,955001833,10/15/2014,1324000085,3154770412,8/18/2022,10/13/2022,884,0,884,Bimonthly,15238,75
2022,8,ΔΕΗ Α.Ε,8/18/2022,955001833,10/15/2014,1324000085,3154770412,6/16/2022,8/17/2022,0,0,0,Bimonthly,15238,75
2022,6,ΔΕΗ Α.Ε,6/23/2022,955001833,10/15/2014,1324000085,3154770412,4/15/2022,6/15/2022,1022,0,1022,Bimonthly,15238,75
2022,4,ΔΕΗ Α.Ε,4/15/2022,955001833,10/15/2014,1324000085,3154770412,2/16/2022,4/14/2022,0,0,0,Bimonthly,15238,75
2022,2,ΔΕΗ Α.Ε,2/18/2022,955001833,10/15/2014,1324000085,3154770412,12/18/2021,2/15/2022,1122,0,1122,Bimonthly,15238,75
2021,12,ΔΕΗ Α.Ε,12/20/2021,955001833,10/15/2014,1324000085,3154770412,10/18/2021,12/17/2021,0,0,0,Bimonthly,15238,75
2021,10,ΔΕΗ Α.Ε,10/20/2021,955001833,10/15/2014,1324000085,3154770412,8/18/2021,10/17/2021,1123,0,1123,Bimonthly,15238,75
2021,8,ΔΕΗ Α.Ε,8/18/2021,955001833,10/15/2014,1324000085,3154770412,6/15/2021,8/17/2021,0,0,0,Bimonthly,15238,75
2021,6,ΔΕΗ Α.Ε,6/18/2021,955001833,10/15/2014,1324000085,3154770412,4/16/2021,6/14/2021,683,0,683,Bimonthly,15238,75
2021,4,ΔΕΗ Α.Ε,4/16/2021,955001833,10/15/2014,1324000085,3154770412,2/17/2021,4/15/2021,0,0,0,Bimonthly,15238,75
2021,2,ΔΕΗ Α.Ε,2/19/2021,955001833,10/15/2014,1324000085,3154770412,12/17/2020,2/16/2021,851,0,851,Bimonthly,15238,75
2020,12,ΔΕΗ Α.Ε,12/17/2020,955001833,10/15/2014,1324000085,3154770412,10/15/2020,12/16/2020,0,0,0,Bimonthly,15238,75
2020,10,ΔΕΗ Α.Ε,10/20/2020,955001833,10/15/2014,1324000085,3154770412,8/18/2020,10/14/2020,1894,0,1894,Bimonthly,15238,75
2020,8,ΔΕΗ Α.Ε,8/18/2020,955001833,10/15/2014,1324000085,3154770412,6/18/2020,8/17/2020,0,0,0,Bimonthly,15238,75
2020,6,ΔΕΗ Α.Ε,6/26/2020,955001833,10/15/2014,1324000085,3154770412,4/15/2020,6/17/2020,0,0,0,Bimonthly,15238,75
2020,4,ΔΕΗ Α.Ε,4/15/2020,955001833,10/15/2014,1324000085,3154770412,2/13/2020,4/14/2020,0,0,0,Bimonthly,15238,75
2020,2,ΔΕΗ Α.Ε,2/19/2020,955001833,10/15/2014,1324000085,3154770412,12/14/2019,2/12/2020,789,0,789,Bimonthly,15238,75
2019,12,ΔΕΗ Α.Ε,12/16/2019,955001833,10/15/2014,1324000085,3154770412,10/14/2019,12/13/2019,0,0,0,Bimonthly,15238,75
2019,10,ΔΕΗ Α.Ε,10/18/2019,955001833,10/15/2014,1324000085,3154770412,8/15/2019,10/13/2019,898,0,898,Bimonthly,15238,75
2019,8,ΔΕΗ Α.Ε,8/16/2019,955001833,10/15/2014,1324000085,3154770412,6/19/2019,8/14/2019,0,0,0,Bimonthly,15238,75
2019,6,ΔΕΗ Α.Ε,6/21/2019,955001833,10/15/2014,1324000085,3154770412,4/12/2019,6/18/2019,707,0,707,Bimonthly,15238,75
2019,4,ΔΕΗ Α.Ε,4/12/2019,955001833,10/15/2014,1324000085,3154770412,2/12/2019,4/11/2019,0,0,0,Bimonthly,15238,75
2019,2,ΔΕΗ Α.Ε,2/18/2019,955001833,10/15/2014,1324000085,3154770412,12/14/2018,2/11/2019,1083,0,1083,Bimonthly,15238,75
